# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	a
000001	ok	00000000,00000000,00000000,00000000	0
000002	ok	00000000,00000000,00000000,00000000	-0
000003	ok	00000001,00000000,00000000,00000000	1
000004	ok	00000001,00000000,00000000,80000000	-1
000005	ok	00000001,00000000,00000000,00010000	0.1
000006	ok	00000001,00000000,00000000,80010000	-0.1
000007	ok	00000005,00000000,00000000,00010000	0.5
000008	ok	00000019,00000000,00000000,00010000	2.5
000009	ok	00000001,00000000,00000000,001c0000	1E-28
000010	ok	31600000,085b549b,204fce28,00000000	1E+28
000011	overflow	-	Infinity
000012	overflow	-	-Infinity
000013	ok	00000000,00000000,00000000,00000000	0
000014	ok	00000000,00000000,00000000,00000000	-0
000015	overflow	-	NaN
000016	overflow	-	Infinity
000017	overflow	-	-Infinity
000018	overflow	-	7.9228163E+28
000019	overflow	-	7.9228163E+28
000020	overflow	-	1E+29
000021	overflow	-	-1E+29
000022	ok	00000000,00000000,00000000,00000000	1E-29
000023	ok	075bcd20,00000000,00000000,00000000	123456790
000024	ok	002fefd9,00000000,00000000,00060000	3.1415927
000025	overflow	-	3.4028235E+38
000026	overflow	-	-3.4028235E+38
000027	ok	00000000,00000000,00000000,00000000	1E-45
