# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	a
000001	ok	00000000,00000000,00000000,00000000	0
000002	ok	00000001,00000000,00000000,00000000	1
000003	ok	00000001,00000000,00000000,80000000	-1
000004	ok	00000001,00000000,00000000,00000000	1
000005	ok	00000002,00000000,00000000,00000000	2
000006	ok	00000000,00000000,00000000,00000000	0
000007	ok	00000001,00000000,00000000,80000000	-1
000008	ok	00000000,00000000,00000000,00000000	0
000009	ok	00000002,00000000,00000000,80000000	-2
000010	ok	00000002,00000000,00000000,00000000	2
000011	ok	00000003,00000000,00000000,00000000	3
000012	ok	00000001,00000000,00000000,00000000	1
000013	ok	00000002,00000000,00000000,80000000	-2
000014	ok	00000001,00000000,00000000,80000000	-1
000015	ok	00000003,00000000,00000000,80000000	-3
000016	ok	00000009,00000000,00000000,00000000	9
000017	ok	0000000a,00000000,00000000,00000000	10
000018	ok	00000008,00000000,00000000,00000000	8
000019	ok	0000000a,00000000,00000000,00000000	10
000020	ok	0000000b,00000000,00000000,00000000	11
000021	ok	00000009,00000000,00000000,00000000	9
000022	ok	00000063,00000000,00000000,00000000	99
000023	ok	00000064,00000000,00000000,00000000	100
000024	ok	00000062,00000000,00000000,00000000	98
000025	ok	00000064,00000000,00000000,00000000	100
000026	ok	00000065,00000000,00000000,00000000	101
000027	ok	00000063,00000000,00000000,00000000	99
000028	ok	0000007f,00000000,00000000,00000000	127
000029	ok	00000080,00000000,00000000,00000000	128
000030	ok	0000007e,00000000,00000000,00000000	126
000031	ok	00000080,00000000,00000000,80000000	-128
000032	ok	0000007f,00000000,00000000,80000000	-127
000033	ok	00000081,00000000,00000000,80000000	-129
000034	ok	000000ff,00000000,00000000,00000000	255
000035	ok	00000100,00000000,00000000,00000000	256
000036	ok	000000fe,00000000,00000000,00000000	254
000037	ok	00007fff,00000000,00000000,00000000	32767
000038	ok	00008000,00000000,00000000,00000000	32768
000039	ok	00007ffe,00000000,00000000,00000000	32766
000040	ok	00008000,00000000,00000000,80000000	-32768
000041	ok	00007fff,00000000,00000000,80000000	-32767
000042	ok	00008001,00000000,00000000,80000000	-32769
000043	ok	0000ffff,00000000,00000000,00000000	65535
000044	ok	00010000,00000000,00000000,00000000	65536
000045	ok	0000fffe,00000000,00000000,00000000	65534
000046	ok	7fffffff,00000000,00000000,00000000	2147483647
000047	ok	80000000,00000000,00000000,00000000	2147483648
000048	ok	7ffffffe,00000000,00000000,00000000	2147483646
000049	ok	80000000,00000000,00000000,80000000	-2147483648
000050	ok	7fffffff,00000000,00000000,80000000	-2147483647
000051	ok	80000001,00000000,00000000,80000000	-2147483649
000052	ok	ffffffff,00000000,00000000,00000000	4294967295
000053	ok	00000000,00000001,00000000,00000000	4294967296
000054	ok	fffffffe,00000000,00000000,00000000	4294967294
000055	ok	ffffffff,7fffffff,00000000,00000000	9223372036854775807
000056	ok	fffffffe,7fffffff,00000000,00000000	9223372036854775806
000057	ok	00000000,80000000,00000000,80000000	-9223372036854775808
000058	ok	ffffffff,7fffffff,00000000,80000000	-9223372036854775807
