# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	a	b
000001	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000
000002	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000
000003	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00000000
000004	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,00000000	00000001,00000000,00000000,80000000
000005	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	00000002,00000000,00000000,00000000
000006	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,00000000	00000002,00000000,00000000,80000000
000007	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	0000000a,00000000,00000000,00000000
000008	ok	00000000,00000000,00000000,00010000	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00010000
000009	ok	00000000,00000000,00000000,00020000	00000000,00000000,00000000,00000000	0000000b,00000000,00000000,00020000
000010	ok	00000000,00000000,00000000,00010000	00000000,00000000,00000000,00000000	0000000a,00000000,00000000,00010000
000011	ok	00000000,00000000,00000000,00020000	00000000,00000000,00000000,00000000	00000064,00000000,00000000,00020000
000012	ok	00000000,00000000,00000000,00040000	00000000,00000000,00000000,00000000	00002710,00000000,00000000,00040000
000013	ok	00000000,00000000,00000000,00010000	00000000,00000000,00000000,00000000	00000005,00000000,00000000,00010000
000014	ok	00000000,00000000,00000000,00010000	00000000,00000000,00000000,00000000	00000019,00000000,00000000,00010000
000015	ok	00000000,00000000,00000000,00020000	00000000,00000000,00000000,00000000	000000e1,00000000,00000000,00020000
000016	ok	00000000,00000000,00000000,80010000	00000000,00000000,00000000,00000000	00000005,00000000,00000000,80010000
000017	ok	00000000,00000000,00000000,80010000	00000000,00000000,00000000,00000000	00000019,00000000,00000000,80010000
000018	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	ffffffff,ffffffff,ffffffff,00000000
000019	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	ffffffff,ffffffff,ffffffff,80000000
000020	ok	00000000,00000000,00000000,001c0000	00000000,00000000,00000000,00000000	00000001,00000000,00000000,001c0000
000021	ok	00000000,00000000,00000000,801c0000	00000000,00000000,00000000,00000000	00000001,00000000,00000000,801c0000
000022	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	038e38e3,593f628d,b3827a7d,001c0000
000023	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	fffffffe,ffffffff,ffffffff,00000000
000024	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	6fba1e6c,fe0145d0,5983a27b,00030000
000025	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	e9da2a3a,cf62ba73,6785aac3,80160000
000026	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	e91a115e,1d553718,0190e897,80040000
000027	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	1b04adac,255426f9,0fa915e7,80050000
000028	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	ffffffff,00000000,00000000,00000000
000029	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	00000000,00000001,00000000,00000000
000030	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	ffffffff,ffffffff,00000000,00000000
000031	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	00000000,00000000,00000001,00000000
000032	ok	00000000,00000000,00000000,001c0000	00000000,00000000,00000000,00000000	00000001,00000000,00000000,001c0000
000033	ok	00000000,00000000,00000000,001c0000	00000000,00000000,00000000,00000000	00000001,00000000,00000000,001c0000
000034	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	10000000,3e250261,204fce5e,00000000
000035	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	0d750612,e682c320,0103ddcf,001a0000
000036	ok	00000000,00000000,00000000,80040000	00000000,00000000,00000000,00000000	0000342c,00000000,00000000,80040000
000037	ok	00000000,00000000,00000000,00010000	00000000,00000000,00000000,00000000	0000000d,00000000,00000000,00010000
000038	ok	00000000,00000000,00000000,00010000	00000000,00000000,00000000,00000000	00000024,00000000,00000000,00010000
000039	ok	00000000,00000000,00000000,00060000	00000000,00000000,00000000,00000000	00bc614e,00000000,00000000,00060000
000040	ok	00000000,00000000,00000000,00040000	00000000,00000000,00000000,00000000	0000000c,00000000,00000000,00040000
000041	ok	00000000,00000000,00000000,80060000	00000000,00000000,00000000,00000000	000004d2,00000000,00000000,80060000
000042	ok	00000000,00000000,00000000,80060000	00000000,00000000,00000000,00000000	0000000c,00000000,00000000,80060000
000043	ok	00000000,00000000,00000000,00040000	00000000,00000000,00000000,00000000	499602d2,00000000,00000000,00040000
000044	ok	00000000,00000000,00000000,80040000	00000000,00000000,00000000,00000000	499602d4,00000000,00000000,80040000
000045	ok	00000000,00000000,00000000,00050000	00000000,00000000,00000000,00000000	075bcd15,00000000,00000000,00050000
000046	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	c56536c8,000029c7,00000000,00000000
000047	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	029f31fd,00000000,00000000,00000000
000048	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	00000000,00000000,00000000,00000000
000049	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000
000050	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	00000001,00000000,00000000,00000000
000051	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80000000
000052	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	00000002,00000000,00000000,00000000
000053	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	00000002,00000000,00000000,80000000
000054	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	0000000a,00000000,00000000,00000000
000055	ok	00000000,00000000,00000000,80010000	00000000,00000000,00000000,80000000	00000001,00000000,00000000,00010000
000056	ok	00000000,00000000,00000000,80020000	00000000,00000000,00000000,80000000	0000000b,00000000,00000000,00020000
000057	ok	00000000,00000000,00000000,80010000	00000000,00000000,00000000,80000000	0000000a,00000000,00000000,00010000
000058	ok	00000000,00000000,00000000,80020000	00000000,00000000,00000000,80000000	00000064,00000000,00000000,00020000
000059	ok	00000000,00000000,00000000,80040000	00000000,00000000,00000000,80000000	00002710,00000000,00000000,00040000
000060	ok	00000000,00000000,00000000,80010000	00000000,00000000,00000000,80000000	00000005,00000000,00000000,00010000
000061	ok	00000000,00000000,00000000,80010000	00000000,00000000,00000000,80000000	00000019,00000000,00000000,00010000
000062	ok	00000000,00000000,00000000,80020000	00000000,00000000,00000000,80000000	000000e1,00000000,00000000,00020000
000063	ok	00000000,00000000,00000000,00010000	00000000,00000000,00000000,80000000	00000005,00000000,00000000,80010000
000064	ok	00000000,00000000,00000000,00010000	00000000,00000000,00000000,80000000	00000019,00000000,00000000,80010000
000065	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	ffffffff,ffffffff,ffffffff,00000000
000066	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	ffffffff,ffffffff,ffffffff,80000000
000067	ok	00000000,00000000,00000000,801c0000	00000000,00000000,00000000,80000000	00000001,00000000,00000000,001c0000
000068	ok	00000000,00000000,00000000,001c0000	00000000,00000000,00000000,80000000	00000001,00000000,00000000,801c0000
000069	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	038e38e3,593f628d,b3827a7d,001c0000
000070	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	fffffffe,ffffffff,ffffffff,00000000
000071	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	6fba1e6c,fe0145d0,5983a27b,00030000
000072	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	e9da2a3a,cf62ba73,6785aac3,80160000
000073	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	e91a115e,1d553718,0190e897,80040000
000074	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	1b04adac,255426f9,0fa915e7,80050000
000075	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	ffffffff,00000000,00000000,00000000
000076	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	00000000,00000001,00000000,00000000
000077	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	ffffffff,ffffffff,00000000,00000000
000078	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	00000000,00000000,00000001,00000000
000079	ok	00000000,00000000,00000000,801c0000	00000000,00000000,00000000,80000000	00000001,00000000,00000000,001c0000
000080	ok	00000000,00000000,00000000,801c0000	00000000,00000000,00000000,80000000	00000001,00000000,00000000,001c0000
000081	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	10000000,3e250261,204fce5e,00000000
000082	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000	0d750612,e682c320,0103ddcf,001a0000
000083	ok	00000000,00000000,00000000,00040000	00000000,00000000,00000000,80000000	0000342c,00000000,00000000,80040000
000084	ok	00000000,00000000,00000000,80010000	00000000,00000000,00000000,80000000	0000000d,00000000,00000000,00010000
