# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	value	culture	field
000001	ok	.	invariant	NumberDecimalSeparator
000002	ok	,	invariant	NumberGroupSeparator
000003	ok	3	invariant	NumberGroupSizes
000004	ok	2	invariant	NumberDecimalDigits
000005	ok	1	invariant	NumberNegativePattern
000006	ok	-	invariant	NegativeSign
000007	ok	+	invariant	PositiveSign
000008	ok	\u00a4	invariant	CurrencySymbol
000009	ok	.	invariant	CurrencyDecimalSeparator
000010	ok	,	invariant	CurrencyGroupSeparator
000011	ok	3	invariant	CurrencyGroupSizes
000012	ok	2	invariant	CurrencyDecimalDigits
000013	ok	0	invariant	CurrencyPositivePattern
000014	ok	0	invariant	CurrencyNegativePattern
000015	ok	%	invariant	PercentSymbol
000016	ok	.	invariant	PercentDecimalSeparator
000017	ok	,	invariant	PercentGroupSeparator
000018	ok	3	invariant	PercentGroupSizes
000019	ok	2	invariant	PercentDecimalDigits
000020	ok	0	invariant	PercentPositivePattern
000021	ok	0	invariant	PercentNegativePattern
000022	ok	.	en-US	NumberDecimalSeparator
000023	ok	,	en-US	NumberGroupSeparator
000024	ok	3	en-US	NumberGroupSizes
000025	ok	3	en-US	NumberDecimalDigits
000026	ok	1	en-US	NumberNegativePattern
000027	ok	-	en-US	NegativeSign
000028	ok	+	en-US	PositiveSign
000029	ok	$	en-US	CurrencySymbol
000030	ok	.	en-US	CurrencyDecimalSeparator
000031	ok	,	en-US	CurrencyGroupSeparator
000032	ok	3	en-US	CurrencyGroupSizes
000033	ok	2	en-US	CurrencyDecimalDigits
000034	ok	0	en-US	CurrencyPositivePattern
000035	ok	1	en-US	CurrencyNegativePattern
000036	ok	%	en-US	PercentSymbol
000037	ok	.	en-US	PercentDecimalSeparator
000038	ok	,	en-US	PercentGroupSeparator
000039	ok	3	en-US	PercentGroupSizes
000040	ok	3	en-US	PercentDecimalDigits
000041	ok	1	en-US	PercentPositivePattern
000042	ok	1	en-US	PercentNegativePattern
