# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	input	style	culture
000001	ok	00000000,00000000,00000000,00000000	0	number	invariant
000002	ok	00000000,00000000,00000000,00000000	0	number	en-US
000003	ok	00000000,00000000,00000000,00000000	0	float	invariant
000004	ok	00000000,00000000,00000000,00000000	0	float	en-US
000005	ok	00000000,00000000,00000000,00000000	0	any	invariant
000006	ok	00000000,00000000,00000000,00000000	0	any	en-US
000007	ok	00000000,00000000,00000000,00000000	0	integer	invariant
000008	ok	00000000,00000000,00000000,00000000	0	integer	en-US
000009	ok	00000000,00000000,00000000,80000000	-0	number	invariant
000010	ok	00000000,00000000,00000000,80000000	-0	number	en-US
000011	ok	00000000,00000000,00000000,80000000	-0	float	invariant
000012	ok	00000000,00000000,00000000,80000000	-0	float	en-US
000013	ok	00000000,00000000,00000000,80000000	-0	any	invariant
000014	ok	00000000,00000000,00000000,80000000	-0	any	en-US
000015	ok	00000000,00000000,00000000,80000000	-0	integer	invariant
000016	ok	00000000,00000000,00000000,80000000	-0	integer	en-US
000017	ok	00000000,00000000,00000000,00000000	+0	number	invariant
000018	ok	00000000,00000000,00000000,00000000	+0	number	en-US
000019	ok	00000000,00000000,00000000,00000000	+0	float	invariant
000020	ok	00000000,00000000,00000000,00000000	+0	float	en-US
000021	ok	00000000,00000000,00000000,00000000	+0	any	invariant
000022	ok	00000000,00000000,00000000,00000000	+0	any	en-US
000023	ok	00000000,00000000,00000000,00000000	+0	integer	invariant
000024	ok	00000000,00000000,00000000,00000000	+0	integer	en-US
000025	ok	00000001,00000000,00000000,00000000	1	number	invariant
000026	ok	00000001,00000000,00000000,00000000	1	number	en-US
000027	ok	00000001,00000000,00000000,00000000	1	float	invariant
000028	ok	00000001,00000000,00000000,00000000	1	float	en-US
000029	ok	00000001,00000000,00000000,00000000	1	any	invariant
000030	ok	00000001,00000000,00000000,00000000	1	any	en-US
000031	ok	00000001,00000000,00000000,00000000	1	integer	invariant
000032	ok	00000001,00000000,00000000,00000000	1	integer	en-US
000033	ok	00000001,00000000,00000000,80000000	-1	number	invariant
000034	ok	00000001,00000000,00000000,80000000	-1	number	en-US
000035	ok	00000001,00000000,00000000,80000000	-1	float	invariant
000036	ok	00000001,00000000,00000000,80000000	-1	float	en-US
000037	ok	00000001,00000000,00000000,80000000	-1	any	invariant
000038	ok	00000001,00000000,00000000,80000000	-1	any	en-US
000039	ok	00000001,00000000,00000000,80000000	-1	integer	invariant
000040	ok	00000001,00000000,00000000,80000000	-1	integer	en-US
000041	ok	0000000a,00000000,00000000,00010000	1.0	number	invariant
000042	ok	0000000a,00000000,00000000,00010000	1.0	number	en-US
000043	ok	0000000a,00000000,00000000,00010000	1.0	float	invariant
000044	ok	0000000a,00000000,00000000,00010000	1.0	float	en-US
000045	ok	0000000a,00000000,00000000,00010000	1.0	any	invariant
000046	ok	0000000a,00000000,00000000,00010000	1.0	any	en-US
000047	format	-	1.0	integer	invariant
000048	format	-	1.0	integer	en-US
000049	ok	00000064,00000000,00000000,00020000	1.00	number	invariant
000050	ok	00000064,00000000,00000000,00020000	1.00	number	en-US
000051	ok	00000064,00000000,00000000,00020000	1.00	float	invariant
000052	ok	00000064,00000000,00000000,00020000	1.00	float	en-US
000053	ok	00000064,00000000,00000000,00020000	1.00	any	invariant
000054	ok	00000064,00000000,00000000,00020000	1.00	any	en-US
000055	format	-	1.00	integer	invariant
000056	format	-	1.00	integer	en-US
000057	ok	e8000000,9fd0803c,033b2e3c,001b0000	1.000000000000000000000000000	number	invariant
000058	ok	e8000000,9fd0803c,033b2e3c,001b0000	1.000000000000000000000000000	number	en-US
000059	ok	e8000000,9fd0803c,033b2e3c,001b0000	1.000000000000000000000000000	float	invariant
000060	ok	e8000000,9fd0803c,033b2e3c,001b0000	1.000000000000000000000000000	float	en-US
000061	ok	e8000000,9fd0803c,033b2e3c,001b0000	1.000000000000000000000000000	any	invariant
000062	ok	e8000000,9fd0803c,033b2e3c,001b0000	1.000000000000000000000000000	any	en-US
000063	format	-	1.000000000000000000000000000	integer	invariant
000064	format	-	1.000000000000000000000000000	integer	en-US
000065	ok	00000001,00000000,00000000,00010000	0.1	number	invariant
000066	ok	00000001,00000000,00000000,00010000	0.1	number	en-US
000067	ok	00000001,00000000,00000000,00010000	0.1	float	invariant
000068	ok	00000001,00000000,00000000,00010000	0.1	float	en-US
000069	ok	00000001,00000000,00000000,00010000	0.1	any	invariant
000070	ok	00000001,00000000,00000000,00010000	0.1	any	en-US
000071	format	-	0.1	integer	invariant
000072	format	-	0.1	integer	en-US
000073	ok	00000001,00000000,00000000,00010000	.1	number	invariant
000074	ok	00000001,00000000,00000000,00010000	.1	number	en-US
000075	ok	00000001,00000000,00000000,00010000	.1	float	invariant
000076	ok	00000001,00000000,00000000,00010000	.1	float	en-US
000077	ok	00000001,00000000,00000000,00010000	.1	any	invariant
000078	ok	00000001,00000000,00000000,00010000	.1	any	en-US
000079	format	-	.1	integer	invariant
000080	format	-	.1	integer	en-US
000081	ok	00000001,00000000,00000000,00000000	1.	number	invariant
000082	ok	00000001,00000000,00000000,00000000	1.	number	en-US
000083	ok	00000001,00000000,00000000,00000000	1.	float	invariant
000084	ok	00000001,00000000,00000000,00000000	1.	float	en-US
000085	ok	00000001,00000000,00000000,00000000	1.	any	invariant
000086	ok	00000001,00000000,00000000,00000000	1.	any	en-US
000087	format	-	1.	integer	invariant
000088	format	-	1.	integer	en-US
000089	ok	00000001,00000000,00000000,001c0000	0.0000000000000000000000000001	number	invariant
000090	ok	00000001,00000000,00000000,001c0000	0.0000000000000000000000000001	number	en-US
000091	ok	00000001,00000000,00000000,001c0000	0.0000000000000000000000000001	float	invariant
000092	ok	00000001,00000000,00000000,001c0000	0.0000000000000000000000000001	float	en-US
000093	ok	00000001,00000000,00000000,001c0000	0.0000000000000000000000000001	any	invariant
000094	ok	00000001,00000000,00000000,001c0000	0.0000000000000000000000000001	any	en-US
000095	format	-	0.0000000000000000000000000001	integer	invariant
000096	format	-	0.0000000000000000000000000001	integer	en-US
000097	ok	ffffffff,ffffffff,ffffffff,00000000	79228162514264337593543950335	number	invariant
000098	ok	ffffffff,ffffffff,ffffffff,00000000	79228162514264337593543950335	number	en-US
000099	ok	ffffffff,ffffffff,ffffffff,00000000	79228162514264337593543950335	float	invariant
000100	ok	ffffffff,ffffffff,ffffffff,00000000	79228162514264337593543950335	float	en-US
000101	ok	ffffffff,ffffffff,ffffffff,00000000	79228162514264337593543950335	any	invariant
000102	ok	ffffffff,ffffffff,ffffffff,00000000	79228162514264337593543950335	any	en-US
000103	ok	ffffffff,ffffffff,ffffffff,00000000	79228162514264337593543950335	integer	invariant
000104	ok	ffffffff,ffffffff,ffffffff,00000000	79228162514264337593543950335	integer	en-US
000105	ok	ffffffff,ffffffff,ffffffff,80000000	-79228162514264337593543950335	number	invariant
000106	ok	ffffffff,ffffffff,ffffffff,80000000	-79228162514264337593543950335	number	en-US
000107	ok	ffffffff,ffffffff,ffffffff,80000000	-79228162514264337593543950335	float	invariant
000108	ok	ffffffff,ffffffff,ffffffff,80000000	-79228162514264337593543950335	float	en-US
000109	ok	ffffffff,ffffffff,ffffffff,80000000	-79228162514264337593543950335	any	invariant
000110	ok	ffffffff,ffffffff,ffffffff,80000000	-79228162514264337593543950335	any	en-US
000111	ok	ffffffff,ffffffff,ffffffff,80000000	-79228162514264337593543950335	integer	invariant
000112	ok	ffffffff,ffffffff,ffffffff,80000000	-79228162514264337593543950335	integer	en-US
000113	overflow	-	79228162514264337593543950336	number	invariant
000114	overflow	-	79228162514264337593543950336	number	en-US
000115	overflow	-	79228162514264337593543950336	float	invariant
000116	overflow	-	79228162514264337593543950336	float	en-US
000117	overflow	-	79228162514264337593543950336	any	invariant
000118	overflow	-	79228162514264337593543950336	any	en-US
000119	overflow	-	79228162514264337593543950336	integer	invariant
000120	overflow	-	79228162514264337593543950336	integer	en-US
000121	ok	ffffffff,ffffffff,ffffffff,001c0000	7.9228162514264337593543950335	number	invariant
000122	ok	ffffffff,ffffffff,ffffffff,001c0000	7.9228162514264337593543950335	number	en-US
000123	ok	ffffffff,ffffffff,ffffffff,001c0000	7.9228162514264337593543950335	float	invariant
000124	ok	ffffffff,ffffffff,ffffffff,001c0000	7.9228162514264337593543950335	float	en-US
000125	ok	ffffffff,ffffffff,ffffffff,001c0000	7.9228162514264337593543950335	any	invariant
000126	ok	ffffffff,ffffffff,ffffffff,001c0000	7.9228162514264337593543950335	any	en-US
000127	format	-	7.9228162514264337593543950335	integer	invariant
000128	format	-	7.9228162514264337593543950335	integer	en-US
000129	ok	000004d2,00000000,00000000,00000000	1,234	number	invariant
000130	ok	000004d2,00000000,00000000,00000000	1,234	number	en-US
000131	format	-	1,234	float	invariant
000132	format	-	1,234	float	en-US
000133	ok	000004d2,00000000,00000000,00000000	1,234	any	invariant
000134	ok	000004d2,00000000,00000000,00000000	1,234	any	en-US
000135	format	-	1,234	integer	invariant
000136	format	-	1,234	integer	en-US
000137	ok	075bcd15,00000000,00000000,00020000	1,234,567.89	number	invariant
000138	ok	075bcd15,00000000,00000000,00020000	1,234,567.89	number	en-US
000139	format	-	1,234,567.89	float	invariant
000140	format	-	1,234,567.89	float	en-US
000141	ok	075bcd15,00000000,00000000,00020000	1,234,567.89	any	invariant
000142	ok	075bcd15,00000000,00000000,00020000	1,234,567.89	any	en-US
000143	format	-	1,234,567.89	integer	invariant
000144	format	-	1,234,567.89	integer	en-US
000145	ok	0000007b,00000000,00000000,00000000	1,2,3	number	invariant
000146	ok	0000007b,00000000,00000000,00000000	1,2,3	number	en-US
000147	format	-	1,2,3	float	invariant
000148	format	-	1,2,3	float	en-US
000149	ok	0000007b,00000000,00000000,00000000	1,2,3	any	invariant
000150	ok	0000007b,00000000,00000000,00000000	1,2,3	any	en-US
000151	format	-	1,2,3	integer	invariant
000152	format	-	1,2,3	integer	en-US
000153	ok	00003039,00000000,00000000,00010000	1,234.5	number	invariant
000154	ok	00003039,00000000,00000000,00010000	1,234.5	number	en-US
000155	format	-	1,234.5	float	invariant
000156	format	-	1,234.5	float	en-US
000157	ok	00003039,00000000,00000000,00010000	1,234.5	any	invariant
000158	ok	00003039,00000000,00000000,00010000	1,234.5	any	en-US
000159	format	-	1,234.5	integer	invariant
000160	format	-	1,234.5	integer	en-US
000161	ok	0000000c,00000000,00000000,00000000	  12  	number	invariant
000162	ok	0000000c,00000000,00000000,00000000	  12  	number	en-US
000163	ok	0000000c,00000000,00000000,00000000	  12  	float	invariant
