# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	a	decimals	mode
000001	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	0	toeven
000002	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	1	toeven
000003	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	2	toeven
000004	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	3	toeven
000005	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	4	toeven
000006	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	5	toeven
000007	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	6	toeven
000008	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	7	toeven
000009	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	8	toeven
000010	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	9	toeven
000011	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	10	toeven
000012	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	11	toeven
000013	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	12	toeven
000014	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	13	toeven
000015	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	14	toeven
000016	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	15	toeven
000017	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	16	toeven
000018	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	17	toeven
000019	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	18	toeven
000020	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	19	toeven
000021	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	20	toeven
000022	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	21	toeven
000023	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	22	toeven
000024	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	23	toeven
