# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	a	b
000001	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000
000002	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	00000000,00000000,00000000,80000000
000003	ok	00000001,00000000,00000000,80000000	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00000000
000004	ok	00000001,00000000,00000000,00000000	00000000,00000000,00000000,00000000	00000001,00000000,00000000,80000000
000005	ok	00000002,00000000,00000000,80000000	00000000,00000000,00000000,00000000	00000002,00000000,00000000,00000000
000006	ok	00000002,00000000,00000000,00000000	00000000,00000000,00000000,00000000	00000002,00000000,00000000,80000000
000007	ok	0000000a,00000000,00000000,80000000	00000000,00000000,00000000,00000000	0000000a,00000000,00000000,00000000
000008	ok	00000001,00000000,00000000,80010000	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00010000
000009	ok	0000000b,00000000,00000000,80020000	00000000,00000000,00000000,00000000	0000000b,00000000,00000000,00020000
000010	ok	0000000a,00000000,00000000,80010000	00000000,00000000,00000000,00000000	0000000a,00000000,00000000,00010000
000011	ok	00000064,00000000,00000000,80020000	00000000,00000000,00000000,00000000	00000064,00000000,00000000,00020000
000012	ok	00002710,00000000,00000000,80040000	00000000,00000000,00000000,00000000	00002710,00000000,00000000,00040000
000013	ok	00000005,00000000,00000000,80010000	00000000,00000000,00000000,00000000	00000005,00000000,00000000,00010000
000014	ok	00000019,00000000,00000000,80010000	00000000,00000000,00000000,00000000	00000019,00000000,00000000,00010000
000015	ok	000000e1,00000000,00000000,80020000	00000000,00000000,00000000,00000000	000000e1,00000000,00000000,00020000
000016	ok	00000005,00000000,00000000,00010000	00000000,00000000,00000000,00000000	00000005,00000000,00000000,80010000
000017	ok	00000019,00000000,00000000,00010000	00000000,00000000,00000000,00000000	00000019,00000000,00000000,80010000
000018	ok	ffffffff,ffffffff,ffffffff,80000000	00000000,00000000,00000000,00000000	ffffffff,ffffffff,ffffffff,00000000
000019	ok	ffffffff,ffffffff,ffffffff,00000000	00000000,00000000,00000000,00000000	ffffffff,ffffffff,ffffffff,80000000
000020	ok	00000001,00000000,00000000,801c0000	00000000,00000000,00000000,00000000	00000001,00000000,00000000,001c0000
000021	ok	00000001,00000000,00000000,001c0000	00000000,00000000,00000000,00000000	00000001,00000000,00000000,801c0000
000022	ok	038e38e3,593f628d,b3827a7d,801c0000	00000000,00000000,00000000,00000000	038e38e3,593f628d,b3827a7d,001c0000
000023	ok	fffffffe,ffffffff,ffffffff,80000000	00000000,00000000,00000000,00000000	fffffffe,ffffffff,ffffffff,00000000
000024	ok	6fba1e6c,fe0145d0,5983a27b,80030000	00000000,00000000,00000000,00000000	6fba1e6c,fe0145d0,5983a27b,00030000
