# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	a
000001	ok	0	00000000,00000000,00000000,00000000
000002	ok	-0	00000000,00000000,00000000,80000000
000003	ok	1	00000001,00000000,00000000,00000000
000004	ok	-1	00000001,00000000,00000000,80000000
000005	ok	2	00000002,00000000,00000000,00000000
000006	ok	-2	00000002,00000000,00000000,80000000
000007	ok	10	0000000a,00000000,00000000,00000000
000008	ok	0.1	00000001,00000000,00000000,00010000
000009	ok	0.11	0000000b,00000000,00000000,00020000
000010	ok	1	0000000a,00000000,00000000,00010000
000011	ok	1	00000064,00000000,00000000,00020000
000012	ok	1	00002710,00000000,00000000,00040000
000013	ok	0.5	00000005,00000000,00000000,00010000
000014	ok	2.5	00000019,00000000,00000000,00010000
000015	ok	2.25	000000e1,00000000,00000000,00020000
000016	ok	-0.5	00000005,00000000,00000000,80010000
000017	ok	-2.5	00000019,00000000,00000000,80010000
000018	ok	7.9228163E+28	ffffffff,ffffffff,ffffffff,00000000
000019	ok	-7.9228163E+28	ffffffff,ffffffff,ffffffff,80000000
000020	ok	1E-28	00000001,00000000,00000000,001c0000
000021	ok	-1E-28	00000001,00000000,00000000,801c0000
000022	ok	5.5555553	038e38e3,593f628d,b3827a7d,001c0000
000023	ok	7.9228163E+28	fffffffe,ffffffff,ffffffff,00000000
000024	ok	2.7703302E+25	6fba1e6c,fe0145d0,5983a27b,00030000
000025	ok	-3203855	e9da2a3a,cf62ba73,6785aac3,80160000
000026	ok	-4.846687E+22	e91a115e,1d553718,0190e897,80040000
000027	ok	-4.846687E+22	1b04adac,255426f9,0fa915e7,80050000
000028	ok	4.2949673E+09	ffffffff,00000000,00000000,00000000
000029	ok	4.2949673E+09	00000000,00000001,00000000,00000000
000030	ok	1.8446744E+19	ffffffff,ffffffff,00000000,00000000
000031	ok	1.8446744E+19	00000000,00000000,00000001,00000000
000032	ok	1E+28	10000000,3e250261,204fce5e,00000000
000033	ok	3.1415927	0d750612,e682c320,0103ddcf,001a0000
000034	ok	-1.3356	0000342c,00000000,00000000,80040000
000035	ok	1.3	0000000d,00000000,00000000,00010000
000036	ok	3.6	00000024,00000000,00000000,00010000
000037	ok	12.345678	00bc614e,00000000,00000000,00060000
000038	ok	0.0012	0000000c,00000000,00000000,00040000
000039	ok	-0.001234	000004d2,00000000,00000000,80060000
000040	ok	-1.2E-05	0000000c,00000000,00000000,80060000
000041	ok	123456.79	499602d2,00000000,00000000,00040000
000042	ok	-123456.79	499602d4,00000000,00000000,80040000
000043	ok	1234.5679	075bcd15,00000000,00000000,00050000
000044	ok	4.593799E+13	c56536c8,000029c7,00000000,00000000
000045	ok	43987452	029f31fd,00000000,00000000,00000000
000046	ok	-0.1	00000001,00000000,00000000,80010000
000047	ok	0.01	00000001,00000000,00000000,00020000
000048	ok	-0.01	00000001,00000000,00000000,80020000
000049	ok	0.001	00000001,00000000,00000000,00030000
000050	ok	-0.001	00000001,00000000,00000000,80030000
000051	ok	0.0001	00000001,00000000,00000000,00040000
000052	ok	-0.0001	00000001,00000000,00000000,80040000
000053	ok	1E-05	00000001,00000000,00000000,00050000
000054	ok	-1E-05	00000001,00000000,00000000,80050000
000055	ok	1E-06	00000001,00000000,00000000,00060000
000056	ok	-1E-06	00000001,00000000,00000000,80060000
000057	ok	1E-07	00000001,00000000,00000000,00070000
000058	ok	-1E-07	00000001,00000000,00000000,80070000
000059	ok	1E-08	00000001,00000000,00000000,00080000
000060	ok	-1E-08	00000001,00000000,00000000,80080000
000061	ok	1E-09	00000001,00000000,00000000,00090000
000062	ok	-1E-09	00000001,00000000,00000000,80090000
000063	ok	1E-10	00000001,00000000,00000000,000a0000
000064	ok	-1E-10	00000001,00000000,00000000,800a0000
000065	ok	1E-11	00000001,00000000,00000000,000b0000
000066	ok	-1E-11	00000001,00000000,00000000,800b0000
000067	ok	1E-12	00000001,00000000,00000000,000c0000
000068	ok	-1E-12	00000001,00000000,00000000,800c0000
000069	ok	1E-13	00000001,00000000,00000000,000d0000
000070	ok	-1E-13	00000001,00000000,00000000,800d0000
000071	ok	1E-14	00000001,00000000,00000000,000e0000
000072	ok	-1E-14	00000001,00000000,00000000,800e0000
000073	ok	1E-15	00000001,00000000,00000000,000f0000
000074	ok	-1E-15	00000001,00000000,00000000,800f0000
000075	ok	1E-16	00000001,00000000,00000000,00100000
000076	ok	-1E-16	00000001,00000000,00000000,80100000
000077	ok	1E-17	00000001,00000000,00000000,00110000
000078	ok	-1E-17	00000001,00000000,00000000,80110000
000079	ok	1E-18	00000001,00000000,00000000,00120000
000080	ok	-1E-18	00000001,00000000,00000000,80120000
000081	ok	1E-19	00000001,00000000,00000000,00130000
000082	ok	-1E-19	00000001,00000000,00000000,80130000
000083	ok	1E-20	00000001,00000000,00000000,00140000
000084	ok	-1E-20	00000001,00000000,00000000,80140000
000085	ok	1E-21	00000001,00000000,00000000,00150000
000086	ok	-1E-21	00000001,00000000,00000000,80150000
000087	ok	1E-22	00000001,00000000,00000000,00160000
000088	ok	-1E-22	00000001,00000000,00000000,80160000
000089	ok	1E-23	00000001,00000000,00000000,00170000
000090	ok	-1E-23	00000001,00000000,00000000,80170000
000091	ok	1E-24	00000001,00000000,00000000,00180000
000092	ok	-1E-24	00000001,00000000,00000000,80180000
000093	ok	1E-25	00000001,00000000,00000000,00190000
000094	ok	-1E-25	00000001,00000000,00000000,80190000
000095	ok	1E-26	00000001,00000000,00000000,001a0000
000096	ok	-1E-26	00000001,00000000,00000000,801a0000
000097	ok	1E-27	00000001,00000000,00000000,001b0000
000098	ok	-1E-27	00000001,00000000,00000000,801b0000
000099	ok	1.8446744E+18	ffffffff,ffffffff,00000000,00010000
000100	ok	-0	00000000,00000000,00000000,80010000
000101	ok	184467.44	ffffffff,ffffffff,00000000,000e0000
000102	ok	-0	00000000,00000000,00000000,800e0000
000103	ok	1.8446744E-09	ffffffff,ffffffff,00000000,001c0000
000104	ok	-0	00000000,00000000,00000000,801c0000
000105	ok	3.689349E+19	ffffffff,ffffffff,00000001,00000000
000106	ok	-1.8446744E+19	00000000,00000000,00000001,80000000
000107	ok	3.689349E+18	ffffffff,ffffffff,00000001,00010000
000108	ok	-1.8446744E+18	00000000,00000000,00000001,80010000
000109	ok	368934.88	ffffffff,ffffffff,00000001,000e0000
000110	ok	-184467.44	00000000,00000000,00000001,800e0000
000111	ok	3.6893488E-09	ffffffff,ffffffff,00000001,001c0000
000112	ok	-1.8446744E-09	00000000,00000000,00000001,801c0000
000113	ok	5.5340232E+19	ffffffff,ffffffff,00000002,00000000
000114	ok	-3.689349E+19	00000000,00000000,00000002,80000000
000115	ok	5.5340234E+18	ffffffff,ffffffff,00000002,00010000
000116	ok	-3.689349E+18	00000000,00000000,00000002,80010000
000117	ok	553402.3	ffffffff,ffffffff,00000002,000e0000
000118	ok	-368934.88	00000000,00000000,00000002,800e0000
000119	ok	5.534023E-09	ffffffff,ffffffff,00000002,001c0000
000120	ok	-3.6893488E-09	00000000,00000000,00000002,801c0000
000121	ok	7.9228163E+28	ffffffff,ffffffff,fffffffe,00000000
000122	ok	-7.9228163E+28	00000000,00000000,fffffffe,80000000
000123	ok	7.9228164E+27	ffffffff,ffffffff,fffffffe,00010000
000124	ok	-7.9228164E+27	00000000,00000000,fffffffe,80010000
000125	ok	7.922816E+14	ffffffff,ffffffff,fffffffe,000e0000
000126	ok	-7.922816E+14	00000000,00000000,fffffffe,800e0000
000127	ok	7.9228163	ffffffff,ffffffff,fffffffe,001c0000
000128	ok	-7.9228163	00000000,00000000,fffffffe,801c0000
000129	ok	-7.9228163E+28	00000000,00000000,ffffffff,80000000
000130	ok	7.9228164E+27	ffffffff,ffffffff,ffffffff,00010000
000131	ok	-7.9228164E+27	00000000,00000000,ffffffff,80010000
000132	ok	7.922816E+14	ffffffff,ffffffff,ffffffff,000e0000
000133	ok	-7.922816E+14	00000000,00000000,ffffffff,800e0000
000134	ok	7.9228163	ffffffff,ffffffff,ffffffff,001c0000
000135	ok	-7.9228163	00000000,00000000,ffffffff,801c0000
000136	ok	1.5	0000000f,00000000,00000000,00010000
000137	ok	0.05	00000005,00000000,00000000,00020000
000138	ok	-0.05	00000005,00000000,00000000,80020000
000139	ok	0.15	0000000f,00000000,00000000,00020000
000140	ok	0.25	00000019,00000000,00000000,00020000
000141	ok	0.005	00000005,00000000,00000000,00030000
000142	ok	-0.005	00000005,00000000,00000000,80030000
000143	ok	0.015	0000000f,00000000,00000000,00030000
000144	ok	0.025	00000019,00000000,00000000,00030000
000145	ok	0.0005	00000005,00000000,00000000,00040000
000146	ok	-0.0005	00000005,00000000,00000000,80040000
000147	ok	0.0015	0000000f,00000000,00000000,00040000
000148	ok	0.0025	00000019,00000000,00000000,00040000
000149	ok	5E-05	00000005,00000000,00000000,00050000
000150	ok	-5E-05	00000005,00000000,00000000,80050000
000151	ok	0.00015	0000000f,00000000,00000000,00050000
000152	ok	0.00025	00000019,00000000,00000000,00050000
000153	ok	5E-06	00000005,00000000,00000000,00060000
000154	ok	-5E-06	00000005,00000000,00000000,80060000
000155	ok	1.5E-05	0000000f,00000000,00000000,00060000
000156	ok	2.5E-05	00000019,00000000,00000000,00060000
000157	ok	5E-07	00000005,00000000,00000000,00070000
000158	ok	-5E-07	00000005,00000000,00000000,80070000
000159	ok	1.5E-06	0000000f,00000000,00000000,00070000
000160	ok	2.5E-06	00000019,00000000,00000000,00070000
000161	ok	5E-08	00000005,00000000,00000000,00080000
000162	ok	-5E-08	00000005,00000000,00000000,80080000
000163	ok	1.5E-07	0000000f,00000000,00000000,00080000
000164	ok	2.5E-07	00000019,00000000,00000000,00080000
000165	ok	5E-09	00000005,00000000,00000000,00090000
000166	ok	-5E-09	00000005,00000000,00000000,80090000
000167	ok	1.5E-08	0000000f,00000000,00000000,00090000
000168	ok	2.5E-08	00000019,00000000,00000000,00090000
000169	ok	5E-10	00000005,00000000,00000000,000a0000
000170	ok	-5E-10	00000005,00000000,00000000,800a0000
000171	ok	1.5E-09	0000000f,00000000,00000000,000a0000
000172	ok	2.5E-09	00000019,00000000,00000000,000a0000
000173	ok	5E-11	00000005,00000000,00000000,000b0000
