# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	a	format	culture
000001	ok	\e	00000000,00000000,00000000,00000000	#	invariant
000002	ok	\e	00000000,00000000,00000000,00000000	#	en-US
000003	ok	0	00000000,00000000,00000000,00000000	0	invariant
000004	ok	0	00000000,00000000,00000000,00000000	0	en-US
000005	ok	0.0	00000000,00000000,00000000,00000000	0.0	invariant
000006	ok	0.0	00000000,00000000,00000000,00000000	0.0	en-US
000007	ok	0.00	00000000,00000000,00000000,00000000	0.00	invariant
000008	ok	0.00	00000000,00000000,00000000,00000000	0.00	en-US
000009	ok	\e	00000000,00000000,00000000,00000000	#.##	invariant
000010	ok	\e	00000000,00000000,00000000,00000000	#.##	en-US
000011	ok	.00	00000000,00000000,00000000,00000000	#.00	invariant
000012	ok	.00	00000000,00000000,00000000,00000000	#.00	en-US
000013	ok	0	00000000,00000000,00000000,00000000	0.###	invariant
000014	ok	0	00000000,00000000,00000000,00000000	0.###	en-US
000015	ok	\e	00000000,00000000,00000000,00000000	#,#	invariant
000016	ok	\e	00000000,00000000,00000000,00000000	#,#	en-US
000017	ok	0	00000000,00000000,00000000,00000000	#,##0	invariant
000018	ok	0	00000000,00000000,00000000,00000000	#,##0	en-US
000019	ok	0.00	00000000,00000000,00000000,00000000	#,##0.00	invariant
000020	ok	0.00	00000000,00000000,00000000,00000000	#,##0.00	en-US
000021	ok	\e	00000000,00000000,00000000,00000000	#,,	invariant
000022	ok	\e	00000000,00000000,00000000,00000000	#,,	en-US
000023	ok	0	00000000,00000000,00000000,00000000	#,##0,,	invariant
000024	ok	0	00000000,00000000,00000000,00000000	#,##0,,	en-US
000025	ok	0%	00000000,00000000,00000000,00000000	0%	invariant
000026	ok	0%	00000000,00000000,00000000,00000000	0%	en-US
000027	ok	%	00000000,00000000,00000000,00000000	#.##%	invariant
000028	ok	%	00000000,00000000,00000000,00000000	#.##%	en-US
000029	ok	0.0%	00000000,00000000,00000000,00000000	0.0%	invariant
000030	ok	0.0%	00000000,00000000,00000000,00000000	0.0%	en-US
000031	ok	00000	00000000,00000000,00000000,00000000	00000	invariant
000032	ok	00000	00000000,00000000,00000000,00000000	00000	en-US
000033	ok	00	00000000,00000000,00000000,00000000	###00.##	invariant
000034	ok	00	00000000,00000000,00000000,00000000	###00.##	en-US
000035	ok	\e	00000000,00000000,00000000,00000000	.##	invariant
000036	ok	\e	00000000,00000000,00000000,00000000	.##	en-US
000037	ok	\e	00000000,00000000,00000000,00000000	#.	invariant
000038	ok	\e	00000000,00000000,00000000,00000000	#.	en-US
000039	ok	0.0E+0	00000000,00000000,00000000,00000000	0.0E+0	invariant
000040	ok	0.0E+0	00000000,00000000,00000000,00000000	0.0E+0	en-US
000041	ok	0.0E0	00000000,00000000,00000000,00000000	0.0E-0	invariant
000042	ok	0.0E0	00000000,00000000,00000000,00000000	0.0E-0	en-US
000043	ok	0E+00	00000000,00000000,00000000,00000000	#.##E+00	invariant
000044	ok	0E+00	00000000,00000000,00000000,00000000	#.##E+00	en-US
000045	ok	0E0	00000000,00000000,00000000,00000000	0E0	invariant
000046	ok	0E0	00000000,00000000,00000000,00000000	0E0	en-US
000047	ok	0	00000000,00000000,00000000,00000000	0;(0)	invariant
000048	ok	0	00000000,00000000,00000000,00000000	0;(0)	en-US
000049	ok	zero	00000000,00000000,00000000,00000000	0;(0);zero	invariant
000050	ok	zero	00000000,00000000,00000000,00000000	0;(0);zero	en-US
000051	ok	-	00000000,00000000,00000000,00000000	#,##0.00;(#,##0.00);-	invariant
000052	ok	-	00000000,00000000,00000000,00000000	#,##0.00;(#,##0.00);-	en-US
000053	ok	#0	00000000,00000000,00000000,00000000	\\#0	invariant
