# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	a	culture
000001	ok	0	00000000,00000000,00000000,00000000	invariant
000002	ok	0	00000000,00000000,00000000,00000000	en-US
000003	ok	0	00000000,00000000,00000000,80000000	invariant
000004	ok	0	00000000,00000000,00000000,80000000	en-US
000005	ok	1	00000001,00000000,00000000,00000000	invariant
000006	ok	1	00000001,00000000,00000000,00000000	en-US
000007	ok	-1	00000001,00000000,00000000,80000000	invariant
000008	ok	-1	00000001,00000000,00000000,80000000	en-US
000009	ok	2	00000002,00000000,00000000,00000000	invariant
000010	ok	2	00000002,00000000,00000000,00000000	en-US
000011	ok	-2	00000002,00000000,00000000,80000000	invariant
000012	ok	-2	00000002,00000000,00000000,80000000	en-US
000013	ok	10	0000000a,00000000,00000000,00000000	invariant
000014	ok	10	0000000a,00000000,00000000,00000000	en-US
000015	ok	0.1	00000001,00000000,00000000,00010000	invariant
000016	ok	0.1	00000001,00000000,00000000,00010000	en-US
000017	ok	0.11	0000000b,00000000,00000000,00020000	invariant
000018	ok	0.11	0000000b,00000000,00000000,00020000	en-US
000019	ok	1.0	0000000a,00000000,00000000,00010000	invariant
000020	ok	1.0	0000000a,00000000,00000000,00010000	en-US
000021	ok	1.00	00000064,00000000,00000000,00020000	invariant
000022	ok	1.00	00000064,00000000,00000000,00020000	en-US
000023	ok	1.0000	00002710,00000000,00000000,00040000	invariant
000024	ok	1.0000	00002710,00000000,00000000,00040000	en-US
000025	ok	0.5	00000005,00000000,00000000,00010000	invariant
000026	ok	0.5	00000005,00000000,00000000,00010000	en-US
000027	ok	2.5	00000019,00000000,00000000,00010000	invariant
000028	ok	2.5	00000019,00000000,00000000,00010000	en-US
000029	ok	2.25	000000e1,00000000,00000000,00020000	invariant
000030	ok	2.25	000000e1,00000000,00000000,00020000	en-US
000031	ok	-0.5	00000005,00000000,00000000,80010000	invariant
000032	ok	-0.5	00000005,00000000,00000000,80010000	en-US
000033	ok	-2.5	00000019,00000000,00000000,80010000	invariant
000034	ok	-2.5	00000019,00000000,00000000,80010000	en-US
000035	ok	79228162514264337593543950335	ffffffff,ffffffff,ffffffff,00000000	invariant
000036	ok	79228162514264337593543950335	ffffffff,ffffffff,ffffffff,00000000	en-US
000037	ok	-79228162514264337593543950335	ffffffff,ffffffff,ffffffff,80000000	invariant
000038	ok	-79228162514264337593543950335	ffffffff,ffffffff,ffffffff,80000000	en-US
000039	ok	0.0000000000000000000000000001	00000001,00000000,00000000,001c0000	invariant
000040	ok	0.0000000000000000000000000001	00000001,00000000,00000000,001c0000	en-US
000041	ok	-0.0000000000000000000000000001	00000001,00000000,00000000,801c0000	invariant
000042	ok	-0.0000000000000000000000000001	00000001,00000000,00000000,801c0000	en-US
000043	ok	5.5555555555555555555555555555	038e38e3,593f628d,b3827a7d,001c0000	invariant
000044	ok	5.5555555555555555555555555555	038e38e3,593f628d,b3827a7d,001c0000	en-US
000045	ok	79228162514264337593543950334	fffffffe,ffffffff,ffffffff,00000000	invariant
000046	ok	79228162514264337593543950334	fffffffe,ffffffff,ffffffff,00000000	en-US
000047	ok	27703302467091960609331879.532	6fba1e6c,fe0145d0,5983a27b,00030000	invariant
000048	ok	27703302467091960609331879.532	6fba1e6c,fe0145d0,5983a27b,00030000	en-US
