# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	a	format	culture
000001	ok	\u00a40.00	00000000,00000000,00000000,00000000	C	invariant
000002	ok	$0.00	00000000,00000000,00000000,00000000	C	en-US
000003	ok	\u00a40	00000000,00000000,00000000,00000000	C0	invariant
000004	ok	$0	00000000,00000000,00000000,00000000	C0	en-US
000005	ok	\u00a40.0	00000000,00000000,00000000,00000000	C1	invariant
000006	ok	$0.0	00000000,00000000,00000000,00000000	C1	en-US
000007	ok	\u00a40.00	00000000,00000000,00000000,00000000	C2	invariant
000008	ok	$0.00	00000000,00000000,00000000,00000000	C2	en-US
000009	ok	\u00a40.000	00000000,00000000,00000000,00000000	C3	invariant
000010	ok	$0.000	00000000,00000000,00000000,00000000	C3	en-US
000011	ok	\u00a40.0000	00000000,00000000,00000000,00000000	C4	invariant
000012	ok	$0.0000	00000000,00000000,00000000,00000000	C4	en-US
000013	ok	\u00a40.00000	00000000,00000000,00000000,00000000	C5	invariant
000014	ok	$0.00000	00000000,00000000,00000000,00000000	C5	en-US
000015	ok	\u00a40.000000	00000000,00000000,00000000,00000000	C6	invariant
000016	ok	$0.000000	00000000,00000000,00000000,00000000	C6	en-US
000017	ok	\u00a40.0000000	00000000,00000000,00000000,00000000	C7	invariant
000018	ok	$0.0000000	00000000,00000000,00000000,00000000	C7	en-US
000019	ok	\u00a40.00000000	00000000,00000000,00000000,00000000	C8	invariant
000020	ok	$0.00000000	00000000,00000000,00000000,00000000	C8	en-US
000021	ok	\u00a40.000000000	00000000,00000000,00000000,00000000	C9	invariant
000022	ok	$0.000000000	00000000,00000000,00000000,00000000	C9	en-US
000023	ok	\u00a40.000000000000000	00000000,00000000,00000000,00000000	C15	invariant
000024	ok	$0.000000000000000	00000000,00000000,00000000,00000000	C15	en-US
000025	ok	\u00a40.0000000000000000000000000000	00000000,00000000,00000000,00000000	C28	invariant
000026	ok	$0.0000000000000000000000000000	00000000,00000000,00000000,00000000	C28	en-US
000027	ok	\u00a40.000000000000000000000000000000	00000000,00000000,00000000,00000000	C30	invariant
000028	ok	$0.000000000000000000000000000000	00000000,00000000,00000000,00000000	C30	en-US
000029	ok	\u00a40.00	00000000,00000000,00000000,00000000	c	invariant
000030	ok	$0.00	00000000,00000000,00000000,00000000	c	en-US
000031	ok	\u00a40	00000000,00000000,00000000,00000000	c0	invariant
