# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	a
000001	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000
000002	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000
000003	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000
000004	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000
000005	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000
000006	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000
000007	ok	0000000a,00000000,00000000,00000000	0000000a,00000000,00000000,00000000
000008	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00010000
000009	ok	00000000,00000000,00000000,00000000	0000000b,00000000,00000000,00020000
000010	ok	00000001,00000000,00000000,00000000	0000000a,00000000,00000000,00010000
000011	ok	00000001,00000000,00000000,00000000	00000064,00000000,00000000,00020000
000012	ok	00000001,00000000,00000000,00000000	00002710,00000000,00000000,00040000
000013	ok	00000000,00000000,00000000,00000000	00000005,00000000,00000000,00010000
000014	ok	00000002,00000000,00000000,00000000	00000019,00000000,00000000,00010000
000015	ok	00000002,00000000,00000000,00000000	000000e1,00000000,00000000,00020000
000016	ok	00000000,00000000,00000000,80000000	00000005,00000000,00000000,80010000
000017	ok	00000002,00000000,00000000,80000000	00000019,00000000,00000000,80010000
000018	ok	ffffffff,ffffffff,ffffffff,00000000	ffffffff,ffffffff,ffffffff,00000000
000019	ok	ffffffff,ffffffff,ffffffff,80000000	ffffffff,ffffffff,ffffffff,80000000
000020	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,001c0000
000021	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,801c0000
000022	ok	00000005,00000000,00000000,00000000	038e38e3,593f628d,b3827a7d,001c0000
000023	ok	fffffffe,ffffffff,ffffffff,00000000	fffffffe,ffffffff,ffffffff,00000000
000024	ok	a1e75aa7,0936c907,0016ea67,00000000	6fba1e6c,fe0145d0,5983a27b,00030000
000025	ok	0030e30e,00000000,00000000,80000000	e9da2a3a,cf62ba73,6785aac3,80160000
000026	ok	34a82b44,64f19881,00000a43,80000000	e91a115e,1d553718,0190e897,80040000
000027	ok	34a82b44,64f19881,00000a43,80000000	1b04adac,255426f9,0fa915e7,80050000
000028	ok	ffffffff,00000000,00000000,00000000	ffffffff,00000000,00000000,00000000
000029	ok	00000000,00000001,00000000,00000000	00000000,00000001,00000000,00000000
000030	ok	ffffffff,ffffffff,00000000,00000000	ffffffff,ffffffff,00000000,00000000
000031	ok	00000000,00000000,00000001,00000000	00000000,00000000,00000001,00000000
000032	ok	10000000,3e250261,204fce5e,00000000	10000000,3e250261,204fce5e,00000000
000033	ok	00000003,00000000,00000000,00000000	0d750612,e682c320,0103ddcf,001a0000
000034	ok	00000001,00000000,00000000,80000000	0000342c,00000000,00000000,80040000
000035	ok	00000001,00000000,00000000,00000000	0000000d,00000000,00000000,00010000
000036	ok	00000003,00000000,00000000,00000000	00000024,00000000,00000000,00010000
000037	ok	0000000c,00000000,00000000,00000000	00bc614e,00000000,00000000,00060000
000038	ok	00000000,00000000,00000000,00000000	0000000c,00000000,00000000,00040000
000039	ok	00000000,00000000,00000000,80000000	000004d2,00000000,00000000,80060000
000040	ok	00000000,00000000,00000000,80000000	0000000c,00000000,00000000,80060000
000041	ok	0001e240,00000000,00000000,00000000	499602d2,00000000,00000000,00040000
000042	ok	0001e240,00000000,00000000,80000000	499602d4,00000000,00000000,80040000
000043	ok	000004d2,00000000,00000000,00000000	075bcd15,00000000,00000000,00050000
000044	ok	c56536c8,000029c7,00000000,00000000	c56536c8,000029c7,00000000,00000000
000045	ok	029f31fd,00000000,00000000,00000000	029f31fd,00000000,00000000,00000000
000046	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80010000
000047	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00020000
000048	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80020000
000049	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00030000
000050	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80030000
000051	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00040000
000052	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80040000
000053	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00050000
000054	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80050000
000055	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00060000
000056	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80060000
000057	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00070000
000058	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80070000
000059	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00080000
000060	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80080000
000061	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00090000
000062	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80090000
000063	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,000a0000
000064	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,800a0000
000065	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,000b0000
000066	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,800b0000
000067	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,000c0000
000068	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,800c0000
000069	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,000d0000
000070	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,800d0000
000071	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,000e0000
000072	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,800e0000
000073	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,000f0000
000074	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,800f0000
000075	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00100000
000076	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80100000
000077	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00110000
000078	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80110000
000079	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00120000
000080	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80120000
000081	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00130000
000082	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80130000
000083	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00140000
000084	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80140000
000085	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00150000
000086	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80150000
000087	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00160000
000088	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80160000
000089	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00170000
000090	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80170000
000091	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00180000
000092	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80180000
000093	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,00190000
000094	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,80190000
000095	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,001a0000
000096	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,801a0000
000097	ok	00000000,00000000,00000000,00000000	00000001,00000000,00000000,001b0000
000098	ok	00000000,00000000,00000000,80000000	00000001,00000000,00000000,801b0000
000099	ok	99999999,19999999,00000000,00000000	ffffffff,ffffffff,00000000,00010000
000100	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80010000
000101	ok	0002d093,00000000,00000000,00000000	ffffffff,ffffffff,00000000,000e0000
000102	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,800e0000
000103	ok	00000000,00000000,00000000,00000000	ffffffff,ffffffff,00000000,001c0000
000104	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,801c0000
000105	ok	ffffffff,ffffffff,00000001,00000000	ffffffff,ffffffff,00000001,00000000
000106	ok	00000000,00000000,00000001,80000000	00000000,00000000,00000001,80000000
000107	ok	33333333,33333333,00000000,00000000	ffffffff,ffffffff,00000001,00010000
000108	ok	99999999,19999999,00000000,80000000	00000000,00000000,00000001,80010000
000109	ok	0005a126,00000000,00000000,00000000	ffffffff,ffffffff,00000001,000e0000
000110	ok	0002d093,00000000,00000000,80000000	00000000,00000000,00000001,800e0000
000111	ok	00000000,00000000,00000000,00000000	ffffffff,ffffffff,00000001,001c0000
000112	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000001,801c0000
000113	ok	ffffffff,ffffffff,00000002,00000000	ffffffff,ffffffff,00000002,00000000
000114	ok	00000000,00000000,00000002,80000000	00000000,00000000,00000002,80000000
000115	ok	cccccccc,4ccccccc,00000000,00000000	ffffffff,ffffffff,00000002,00010000
000116	ok	33333333,33333333,00000000,80000000	00000000,00000000,00000002,80010000
000117	ok	000871ba,00000000,00000000,00000000	ffffffff,ffffffff,00000002,000e0000
000118	ok	0005a126,00000000,00000000,80000000	00000000,00000000,00000002,800e0000
000119	ok	00000000,00000000,00000000,00000000	ffffffff,ffffffff,00000002,001c0000
000120	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000002,801c0000
000121	ok	ffffffff,ffffffff,fffffffe,00000000	ffffffff,ffffffff,fffffffe,00000000
000122	ok	00000000,00000000,fffffffe,80000000	00000000,00000000,fffffffe,80000000
000123	ok	ffffffff,7fffffff,19999999,00000000	ffffffff,ffffffff,fffffffe,00010000
000124	ok	66666666,66666666,19999999,80000000	00000000,00000000,fffffffe,80010000
000125	ok	70d154df,0002d093,00000000,00000000	ffffffff,ffffffff,fffffffe,000e0000
000126	ok	70ce844c,0002d093,00000000,80000000	00000000,00000000,fffffffe,800e0000
000127	ok	00000007,00000000,00000000,00000000	ffffffff,ffffffff,fffffffe,001c0000
000128	ok	00000007,00000000,00000000,80000000	00000000,00000000,fffffffe,801c0000
000129	ok	00000000,00000000,ffffffff,80000000	00000000,00000000,ffffffff,80000000
000130	ok	99999999,99999999,19999999,00000000	ffffffff,ffffffff,ffffffff,00010000
000131	ok	00000000,80000000,19999999,80000000	00000000,00000000,ffffffff,80010000
000132	ok	70d42573,0002d093,00000000,00000000	ffffffff,ffffffff,ffffffff,000e0000
000133	ok	70d154df,0002d093,00000000,80000000	00000000,00000000,ffffffff,800e0000
000134	ok	00000007,00000000,00000000,00000000	ffffffff,ffffffff,ffffffff,001c0000
000135	ok	00000007,00000000,00000000,80000000	00000000,00000000,ffffffff,801c0000
000136	ok	00000001,00000000,00000000,00000000	0000000f,00000000,00000000,00010000
000137	ok	00000000,00000000,00000000,00000000	00000005,00000000,00000000,00020000
000138	ok	00000000,00000000,00000000,80000000	00000005,00000000,00000000,80020000
000139	ok	00000000,00000000,00000000,00000000	0000000f,00000000,00000000,00020000
000140	ok	00000000,00000000,00000000,00000000	00000019,00000000,00000000,00020000
000141	ok	00000000,00000000,00000000,00000000	00000005,00000000,00000000,00030000
000142	ok	00000000,00000000,00000000,80000000	00000005,00000000,00000000,80030000
000143	ok	00000000,00000000,00000000,00000000	0000000f,00000000,00000000,00030000
000144	ok	00000000,00000000,00000000,00000000	00000019,00000000,00000000,00030000
000145	ok	00000000,00000000,00000000,00000000	00000005,00000000,00000000,00040000
000146	ok	00000000,00000000,00000000,80000000	00000005,00000000,00000000,80040000
000147	ok	00000000,00000000,00000000,00000000	0000000f,00000000,00000000,00040000
000148	ok	00000000,00000000,00000000,00000000	00000019,00000000,00000000,00040000
000149	ok	00000000,00000000,00000000,00000000	00000005,00000000,00000000,00050000
000150	ok	00000000,00000000,00000000,80000000	00000005,00000000,00000000,80050000
000151	ok	00000000,00000000,00000000,00000000	0000000f,00000000,00000000,00050000
000152	ok	00000000,00000000,00000000,00000000	00000019,00000000,00000000,00050000
000153	ok	00000000,00000000,00000000,00000000	00000005,00000000,00000000,00060000
000154	ok	00000000,00000000,00000000,80000000	00000005,00000000,00000000,80060000
000155	ok	00000000,00000000,00000000,00000000	0000000f,00000000,00000000,00060000
000156	ok	00000000,00000000,00000000,00000000	00000019,00000000,00000000,00060000
000157	ok	00000000,00000000,00000000,00000000	00000005,00000000,00000000,00070000
000158	ok	00000000,00000000,00000000,80000000	00000005,00000000,00000000,80070000
000159	ok	00000000,00000000,00000000,00000000	0000000f,00000000,00000000,00070000
000160	ok	00000000,00000000,00000000,00000000	00000019,00000000,00000000,00070000
000161	ok	00000000,00000000,00000000,00000000	00000005,00000000,00000000,00080000
000162	ok	00000000,00000000,00000000,80000000	00000005,00000000,00000000,80080000
000163	ok	00000000,00000000,00000000,00000000	0000000f,00000000,00000000,00080000
000164	ok	00000000,00000000,00000000,00000000	00000019,00000000,00000000,00080000
000165	ok	00000000,00000000,00000000,00000000	00000005,00000000,00000000,00090000
000166	ok	00000000,00000000,00000000,80000000	00000005,00000000,00000000,80090000
000167	ok	00000000,00000000,00000000,00000000	0000000f,00000000,00000000,00090000
000168	ok	00000000,00000000,00000000,00000000	00000019,00000000,00000000,00090000
000169	ok	00000000,00000000,00000000,00000000	00000005,00000000,00000000,000a0000
000170	ok	00000000,00000000,00000000,80000000	00000005,00000000,00000000,800a0000
000171	ok	00000000,00000000,00000000,00000000	0000000f,00000000,00000000,000a0000
000172	ok	00000000,00000000,00000000,00000000	00000019,00000000,00000000,000a0000
000173	ok	00000000,00000000,00000000,00000000	00000005,00000000,00000000,000b0000
000174	ok	00000000,00000000,00000000,80000000	00000005,00000000,00000000,800b0000
000175	ok	00000000,00000000,00000000,00000000	0000000f,00000000,00000000,000b0000
000176	ok	00000000,00000000,00000000,00000000	00000019,00000000,00000000,000b0000
000177	ok	00000000,00000000,00000000,00000000	00000005,00000000,00000000,000c0000
000178	ok	00000000,00000000,00000000,80000000	00000005,00000000,00000000,800c0000
000179	ok	00000000,00000000,00000000,00000000	0000000f,00000000,00000000,000c0000
000180	ok	00000000,00000000,00000000,00000000	00000019,00000000,00000000,000c0000
000181	ok	00000000,00000000,00000000,00000000	00000005,00000000,00000000,000d0000
000182	ok	00000000,00000000,00000000,80000000	00000005,00000000,00000000,800d0000
000183	ok	00000000,00000000,00000000,00000000	0000000f,00000000,00000000,000d0000
000184	ok	00000000,00000000,00000000,00000000	00000019,00000000,00000000,000d0000
000185	ok	00000000,00000000,00000000,00000000	00000005,00000000,00000000,000e0000
000186	ok	00000000,00000000,00000000,80000000	00000005,00000000,00000000,800e0000
000187	ok	00000000,00000000,00000000,00000000	0000000f,00000000,00000000,000e0000
